"","x"
"301","Group7"
"302","Group7"
"303","Group5"
"304","Group5"
"305","Group2"
"306","Group1"
"307","Group6"
"308","Group3"
"309","Group1"
"310","Group4"
"311","Group3"
"312","Group6"
"313","Group5"
"314","Group7"
"315","Group4"
"316","Group2"
"317","Group2"
"318","Group6"
"319","Group4"
"320","Group1"
"321","Group3"
"322","Group2"
"323","Group7"
"324","Group4"
"325","Group1"
"326","Group6"
"327","Group6"
"328","Group4"
"329","Group6"
"330","Group4"
"331","Group3"
"332","Group2"
"333","Group7"
"334","Group7"
"335","Group2"
"336","Group5"
"337","Group3"
"338","Group6"
"339","Group1"
"340","Group7"
"341","Group1"
"342","Group5"
"343","Group1"
"344","Group2"
"345","Group3"
"346","Group4"
"347","Group5"
"348","Group6"
"349","Group5"
"350","Group6"
"351","Group1"
"352","Group6"
"353","Group2"
"354","Group1"
"355","Group1"
"356","Group7"
"357","Group3"
"358","Group5"
"359","Group6"
"360","Group3"
"361","Group2"
"362","Group2"
"363","Group3"
"364","Group3"
"365","Group2"
"366","Group4"
"367","Group4"
"368","Group4"
"369","Group7"
"370","Group3"
"371","Group4"
"372","Group7"
"373","Group7"
"374","Group6"
"375","Group4"
"376","Group6"
"377","Group7"
"378","Group6"
"379","Group1"
"380","Group6"
"381","Group6"
"382","Group2"
"383","Group4"
"384","Group7"
"385","Group6"
"386","Group3"
"387","Group1"
"388","Group1"
"389","Group7"
"390","Group3"
"391","Group3"
"392","Group2"
"393","Group2"
"394","Group4"
"395","Group7"
"396","Group4"
"397","Group7"
"398","Group2"
"399","Group4"
"400","Group1"
"401","Group4"
"402","Group7"
"403","Group7"
"404","Group6"
"405","Group5"
"406","Group4"
"407","Group2"
"408","Group1"
"409","Group6"
"410","Group4"
"411","Group5"
"412","Group1"
"413","Group4"
"414","Group6"
"415","Group6"
"416","Group3"
"417","Group6"
"418","Group6"
"419","Group6"
"420","Group6"
"421","Group4"
"422","Group5"
"423","Group5"
"424","Group1"
"425","Group5"
"426","Group1"
"427","Group7"
"428","Group3"
"429","Group3"
"430","Group5"
"431","Group3"
"432","Group3"
"433","Group3"
"434","Group6"
"435","Group6"
"436","Group7"
"437","Group3"
"438","Group7"
"439","Group7"
"440","Group5"
"441","Group1"
"442","Group5"
"443","Group5"
"444","Group5"
"445","Group1"
"446","Group2"
"447","Group2"
"448","Group2"
"449","Group3"
"450","Group7"
"451","Group7"
"452","Group6"
"453","Group4"
"454","Group4"
"455","Group7"
"456","Group5"
"457","Group6"
"458","Group7"
"459","Group4"
"460","Group7"
"461","Group6"
"462","Group1"
"463","Group3"
"464","Group3"
"465","Group3"
"466","Group3"
"467","Group3"
"468","Group5"
"469","Group6"
"470","Group6"
"471","Group1"
"472","Group3"
"473","Group6"
"474","Group1"
"475","Group1"
"476","Group4"
"477","Group6"
"478","Group3"
"479","Group1"
"480","Group5"
"481","Group4"
"482","Group3"
"483","Group6"
"484","Group6"
"485","Group7"
"486","Group7"
"487","Group3"
"488","Group7"
"489","Group5"
"490","Group7"
"491","Group6"
"492","Group7"
"493","Group2"
"494","Group1"
"495","Group6"
"496","Group3"
"497","Group5"
"498","Group4"
"499","Group7"
"500","Group6"
"501","Group3"
"502","Group1"
"503","Group6"
"504","Group7"
"505","Group7"
"506","Group3"
"507","Group6"
"508","Group3"
"509","Group3"
"510","Group6"
"511","Group6"
"512","Group6"
"513","Group3"
"514","Group1"
"515","Group4"
"516","Group3"
"517","Group7"
"518","Group7"
"519","Group6"
"520","Group1"
"521","Group6"
"522","Group2"
"523","Group6"
"524","Group7"
"525","Group6"
"526","Group7"
"527","Group6"
"528","Group1"
"529","Group7"
"530","Group1"
"531","Group3"
"532","Group5"
"533","Group6"
"534","Group6"
"535","Group4"
"536","Group6"
"537","Group6"
"538","Group2"
"539","Group5"
"540","Group7"
"541","Group7"
"542","Group3"
"543","Group3"
"544","Group4"
"545","Group1"
"546","Group5"
"547","Group2"
"548","Group2"
"549","Group5"
"550","Group7"
"551","Group7"
"552","Group5"
"553","Group3"
"554","Group3"
"555","Group1"
"556","Group3"
"557","Group3"
"558","Group3"
"559","Group1"
"560","Group4"
"561","Group6"
"562","Group3"
"563","Group6"
"564","Group7"
"565","Group4"
"566","Group7"
"567","Group3"
"568","Group3"
"569","Group3"
"570","Group7"
"571","Group6"
"572","Group7"
"573","Group6"
"574","Group1"
"575","Group3"
"576","Group6"
"577","Group1"
"578","Group3"
"579","Group6"
"580","Group7"
"581","Group7"
"582","Group6"
"583","Group6"
"584","Group6"
"585","Group6"
"586","Group3"
"587","Group7"
"588","Group7"
"589","Group5"
"590","Group6"
"591","Group1"
"592","Group1"
"593","Group3"
"594","Group3"
"595","Group7"
"596","Group2"
"597","Group2"
"598","Group1"
"599","Group7"
"600","Group4"
"601","Group1"
"602","Group5"
"603","Group7"
"604","Group3"
"605","Group2"
"606","Group7"
"607","Group1"
"608","Group4"
"609","Group6"
"610","Group3"
"611","Group5"
"612","Group5"
"613","Group5"
"614","Group2"
"615","Group2"
"616","Group2"
"617","Group5"
"618","Group2"
"619","Group3"
"620","Group6"
"621","Group6"
"622","Group7"
"623","Group6"
"624","Group7"
"625","Group5"
"626","Group3"
"627","Group4"
"628","Group6"
"629","Group7"
"630","Group5"
"631","Group6"
"632","Group6"
"633","Group4"
"634","Group2"
"635","Group3"
"636","Group6"
"637","Group6"
"638","Group7"
"639","Group5"
"640","Group5"
"641","Group1"
"642","Group7"
"643","Group7"
"644","Group7"
"645","Group7"
"646","Group7"
"647","Group7"
"648","Group3"
"649","Group3"
"650","Group2"
"651","Group1"
"652","Group7"
"653","Group3"
"654","Group1"
"655","Group4"
"656","Group7"
"657","Group6"
"658","Group3"
"659","Group7"
"660","Group1"
"661","Group3"
"662","Group2"
"663","Group3"
"664","Group7"
"665","Group7"
"666","Group7"
"667","Group3"
"668","Group1"
"669","Group2"
"670","Group3"
"671","Group6"
"672","Group3"
"673","Group5"
"674","Group1"
"675","Group6"
"676","Group5"
"677","Group3"
"678","Group6"
"679","Group1"
"680","Group7"
"681","Group7"
"682","Group2"
"683","Group3"
"684","Group5"
"685","Group3"
"686","Group6"
"687","Group5"
"688","Group2"
"689","Group4"
"690","Group5"
"691","Group2"
"692","Group3"
"693","Group3"
"694","Group4"
"695","Group3"
"696","Group3"
"697","Group1"
"698","Group6"
"699","Group6"
"700","Group3"
"701","Group7"
"702","Group3"
"703","Group1"
"704","Group6"
"705","Group5"
"706","Group5"
"707","Group3"
"708","Group3"
"709","Group5"
"710","Group3"
"711","Group7"
"712","Group4"
"713","Group7"
"714","Group1"
"715","Group6"
"716","Group5"
"717","Group1"
"718","Group7"
"719","Group7"
"720","Group6"
"721","Group6"
"722","Group1"
"723","Group3"
"724","Group5"
"725","Group3"
"726","Group7"
"727","Group5"
"728","Group6"
"729","Group6"
"730","Group3"
"731","Group2"
"732","Group7"
"733","Group3"
"734","Group3"
"735","Group3"
"736","Group3"
"737","Group6"
"738","Group4"
"739","Group7"
"740","Group5"
"741","Group1"
"742","Group3"
"743","Group6"
"744","Group7"
"745","Group4"
"746","Group2"
"747","Group3"
"748","Group7"
"749","Group6"
"750","Group3"
"751","Group7"
"752","Group4"
"753","Group4"
"754","Group5"
"755","Group2"
"756","Group5"
"757","Group6"
"758","Group7"
"759","Group7"
"760","Group7"
"761","Group7"
"762","Group4"
"763","Group2"
"764","Group7"
"765","Group3"
"766","Group7"
"767","Group3"
"768","Group2"
"769","Group7"
"770","Group6"
"771","Group4"
"772","Group5"
"773","Group2"
"774","Group7"
"775","Group7"
"776","Group2"
"777","Group5"
"778","Group7"
"779","Group6"
"780","Group6"
"781","Group4"
"782","Group3"
"783","Group7"
"784","Group3"
"785","Group3"
"786","Group4"
"787","Group2"
"788","Group3"
"789","Group7"
"790","Group7"
"791","Group4"
"792","Group6"
"793","Group3"
"794","Group1"
"795","Group6"
"796","Group4"
"797","Group4"
"798","Group7"
"799","Group4"
"800","Group6"
"801","Group3"
"802","Group6"
"803","Group5"
"804","Group3"
"805","Group2"
"806","Group4"
"807","Group4"
"808","Group6"
"809","Group6"
"810","Group3"
"811","Group3"
"812","Group5"
"813","Group4"
"814","Group4"
"815","Group7"
"816","Group6"
"817","Group7"
"818","Group3"
"819","Group6"
"820","Group1"
"821","Group7"
"822","Group3"
"823","Group6"
"824","Group3"
"825","Group6"
"826","Group2"
"827","Group7"
"828","Group2"
"829","Group1"
"830","Group6"
"831","Group1"
"832","Group2"
"833","Group1"
"834","Group2"
"835","Group3"
"836","Group7"
"837","Group3"
"838","Group4"
"839","Group4"
"840","Group4"
"841","Group3"
"842","Group6"
"843","Group5"
"844","Group6"
"845","Group5"
"846","Group3"
"847","Group6"
"848","Group3"
"849","Group4"
"850","Group6"
"851","Group3"
"852","Group1"
"853","Group7"
"854","Group5"
"855","Group1"
"856","Group3"
"857","Group7"
"858","Group5"
"859","Group1"
"860","Group2"
"861","Group3"
"862","Group3"
"863","Group7"
"864","Group5"
"865","Group4"
"866","Group6"
"867","Group4"
"868","Group7"
"869","Group6"
"870","Group7"
"871","Group5"
"872","Group3"
"873","Group1"
"874","Group3"
"875","Group1"
"876","Group6"
"877","Group6"
"878","Group6"
"879","Group2"
"880","Group3"
"881","Group4"
"882","Group2"
"883","Group6"
"884","Group3"
"885","Group6"
"886","Group3"
"887","Group7"
"888","Group5"
"889","Group4"
"890","Group7"
"891","Group1"
"892","Group2"
"893","Group4"
"894","Group6"
"895","Group3"
"896","Group3"
"897","Group5"
"898","Group5"
"899","Group1"
"900","Group2"
"901","Group2"
"902","Group4"
"903","Group6"
"904","Group3"
"905","Group5"
"906","Group3"
"907","Group3"
"908","Group7"
"909","Group6"
"910","Group2"
"911","Group3"
"912","Group3"
"913","Group3"
"914","Group6"
"915","Group3"
"916","Group7"
"917","Group1"
"918","Group7"
"919","Group6"
"920","Group5"
"921","Group6"
"922","Group7"
"923","Group6"
"924","Group2"
"925","Group3"
"926","Group7"
"927","Group2"
"928","Group1"
"929","Group6"
"930","Group2"
"931","Group6"
"932","Group3"
"933","Group7"
"934","Group5"
"935","Group4"
"936","Group1"
"937","Group3"
"938","Group6"
"939","Group3"
"940","Group2"
"941","Group3"
"942","Group3"
"943","Group1"
"944","Group2"
"945","Group3"
"946","Group7"
"947","Group5"
"948","Group1"
"949","Group7"
"950","Group2"
"951","Group2"
"952","Group6"
"953","Group2"
"954","Group7"
"955","Group7"
"956","Group6"
"957","Group6"
"958","Group6"
"959","Group2"
"960","Group7"
"961","Group4"
"962","Group3"
"963","Group3"
"964","Group6"
"965","Group4"
"966","Group3"
"967","Group7"
"968","Group1"
"969","Group3"
"970","Group3"
"971","Group5"
"972","Group6"
"973","Group7"
"974","Group2"
"975","Group5"
"976","Group7"
"977","Group7"
"978","Group1"
"979","Group7"
"980","Group7"
"981","Group7"
"982","Group5"
"983","Group7"
"984","Group6"
"985","Group3"
"986","Group4"
"987","Group6"
"988","Group6"
"989","Group5"
"990","Group4"
"991","Group1"
"992","Group6"
"993","Group7"
"994","Group2"
"995","Group6"
"996","Group7"
"997","Group7"
"998","Group1"
"999","Group7"
"1000","Group2"
"1001","Group3"
"1002","Group7"
"1003","Group7"
"1004","Group4"
"1005","Group3"
"1006","Group4"
"1007","Group6"
"1008","Group2"
"1009","Group4"
"1010","Group1"
"1011","Group7"
"1012","Group3"
"1013","Group5"
"1014","Group3"
"1015","Group5"
"1016","Group7"
"1017","Group5"
"1018","Group3"
"1019","Group5"
"1020","Group7"
"1021","Group6"
"1022","Group4"
"1023","Group7"
"1024","Group6"
"1025","Group5"
"1026","Group4"
"1027","Group6"
"1028","Group4"
"1029","Group3"
"1030","Group1"
"1031","Group7"
"1032","Group5"
"1033","Group3"
"1034","Group3"
"1035","Group3"
"1036","Group7"
"1037","Group3"
"1038","Group6"
"1039","Group6"
"1040","Group4"
"1041","Group6"
"1042","Group2"
"1043","Group1"
"1044","Group4"
"1045","Group7"
"1046","Group3"
"1047","Group4"
"1048","Group7"
"1049","Group6"
"1050","Group6"
"1051","Group2"
"1052","Group3"
"1053","Group6"
"1054","Group4"
"1055","Group7"
"1056","Group7"
"1057","Group7"
"1058","Group1"
"1059","Group1"
"1060","Group7"
"1061","Group5"
"1062","Group3"
"1063","Group6"
"1064","Group5"
"1065","Group3"
"1066","Group6"
"1067","Group5"
"1068","Group3"
"1069","Group3"
"1070","Group6"
"1071","Group3"
"1072","Group2"
"1073","Group4"
"1074","Group4"
"1075","Group7"
"1076","Group5"
"1077","Group6"
"1078","Group3"
"1079","Group6"
"1080","Group2"
"1081","Group6"
"1082","Group4"
"1083","Group1"
"1084","Group7"
"1085","Group3"
"1086","Group7"
"1087","Group7"
"1088","Group5"
"1089","Group3"
"1090","Group4"
"1091","Group3"
"1092","Group6"
"1093","Group7"
"1094","Group7"
"1095","Group5"
"1096","Group5"
"1097","Group2"
"1098","Group6"
"1099","Group6"
"1100","Group2"
"1101","Group1"
"1102","Group4"
"1103","Group7"
"1104","Group3"
"1105","Group3"
"1106","Group7"
"1107","Group7"
"1108","Group2"
"1109","Group4"
"1110","Group6"
"1111","Group7"
"1112","Group5"
"1113","Group3"
"1114","Group1"
"1115","Group6"
"1116","Group4"
"1117","Group3"
"1118","Group4"
"1119","Group4"
"1120","Group2"
"1121","Group3"
"1122","Group6"
"1123","Group6"
"1124","Group6"
"1125","Group5"
"1126","Group6"
"1127","Group6"
"1128","Group4"
"1129","Group7"
"1130","Group3"
"1131","Group3"
"1132","Group7"
"1133","Group7"
"1134","Group6"
"1135","Group2"
"1136","Group3"
"1137","Group7"
"1138","Group3"
"1139","Group7"
"1140","Group6"
"1141","Group3"
"1142","Group7"
"1143","Group3"
"1144","Group7"
"1145","Group7"
"1146","Group7"
"1147","Group6"
"1148","Group2"
"1149","Group7"
"1150","Group6"
"1151","Group6"
"1152","Group2"
"1153","Group3"
"1154","Group2"
"1155","Group6"
"1156","Group3"
"1157","Group3"
"1158","Group7"
"1159","Group4"
"1160","Group6"
"1161","Group3"
"1162","Group6"
"1163","Group5"
"1164","Group4"
"1165","Group7"
"1166","Group3"
"1167","Group6"
"1168","Group7"
"1169","Group5"
"1170","Group3"
"1171","Group7"
"1172","Group4"
"1173","Group6"
"1174","Group7"
"1175","Group1"
"1176","Group3"
"1177","Group6"
"1178","Group7"
"1179","Group6"
"1180","Group5"
"1181","Group6"
"1182","Group5"
"1183","Group6"
"1184","Group3"
"1185","Group6"
"1186","Group3"
"1187","Group7"
"1188","Group1"
"1189","Group7"
"1190","Group4"
"1191","Group6"
"1192","Group3"
"1193","Group4"
"1194","Group2"
"1195","Group7"
"1196","Group3"
"1197","Group6"
"1198","Group5"
"1199","Group3"
"1200","Group7"
"1201","Group6"
"1202","Group6"
"1203","Group4"
"1204","Group4"
"1205","Group4"
"1206","Group5"
"1207","Group3"
"1208","Group6"
"1209","Group7"
"1210","Group2"
"1211","Group3"
"1212","Group7"
"1213","Group1"
"1214","Group7"
"1215","Group4"
"1216","Group6"
"1217","Group7"
"1218","Group2"
"1219","Group6"
"1220","Group6"
"1221","Group5"
"1222","Group7"
"1223","Group3"
"1224","Group2"
"1225","Group5"
"1226","Group3"
"1227","Group6"
"1228","Group1"
"1229","Group6"
"1230","Group5"
"1231","Group4"
"1232","Group6"
"1233","Group6"
"1234","Group2"
"1235","Group2"
"1236","Group7"
"1237","Group6"
"1238","Group3"
"1239","Group1"
"1240","Group4"
"1241","Group3"
"1242","Group3"
"1243","Group2"
"1244","Group2"
"1245","Group6"
"1246","Group4"
"1247","Group6"
"1248","Group5"
"1249","Group3"
"1250","Group7"
"1251","Group6"
"1252","Group7"
"1253","Group7"
"1254","Group3"
"1255","Group3"
"1256","Group1"
"1257","Group4"
"1258","Group5"
"1259","Group6"
"1260","Group6"
"1261","Group2"
"1262","Group1"
"1263","Group3"
"1264","Group7"
"1265","Group6"
"1266","Group5"
"1267","Group4"
"1268","Group6"
"1269","Group4"
"1270","Group6"
"1271","Group7"
"1272","Group7"
"1273","Group4"
"1274","Group5"
"1275","Group3"
"1276","Group2"
"1277","Group7"
"1278","Group5"
"1279","Group7"
"1280","Group1"
"1281","Group1"
"1282","Group1"
"1283","Group5"
"1284","Group6"
"1285","Group7"
"1286","Group7"
"1287","Group3"
"1288","Group3"
"1289","Group3"
"1290","Group7"
"1291","Group3"
"1292","Group3"
"1293","Group7"
"1294","Group6"
"1295","Group6"
"1296","Group2"
"1297","Group7"
"1298","Group5"
"1299","Group5"
"1300","Group7"
"1301","Group3"
"1302","Group2"
"1303","Group6"
"1304","Group6"
"1305","Group5"
"1306","Group6"
"1307","Group3"
"1308","Group6"
"1309","Group6"
"1310","Group1"
"1311","Group5"
"1312","Group3"
"1313","Group7"
"1314","Group6"
"1315","Group2"
"1316","Group6"
"1317","Group3"
"1318","Group5"
"1319","Group1"
"1320","Group1"
"1321","Group4"
"1322","Group3"
"1323","Group5"
"1324","Group3"
"1325","Group7"
"1326","Group7"
"1327","Group1"
"1328","Group6"
"1329","Group7"
"1330","Group6"
"1331","Group6"
"1332","Group3"
"1333","Group6"
"1334","Group4"
"1335","Group1"
"1336","Group7"
"1337","Group6"
"1338","Group7"
"1339","Group6"
"1340","Group7"
"1341","Group7"
"1342","Group7"
"1343","Group2"
"1344","Group6"
"1345","Group7"
"1346","Group3"
"1347","Group3"
"1348","Group6"
"1349","Group4"
"1350","Group7"
"1351","Group1"
"1352","Group3"
"1353","Group5"
"1354","Group7"
"1355","Group7"
"1356","Group2"
"1357","Group1"
"1358","Group3"
"1359","Group3"
"1360","Group4"
"1361","Group2"
"1362","Group3"
"1363","Group1"
"1364","Group7"
"1365","Group5"
"1366","Group1"
"1367","Group6"
"1368","Group3"
"1369","Group7"
"1370","Group6"
"1371","Group7"
"1372","Group3"
"1373","Group1"
"1374","Group3"
"1375","Group5"
"1376","Group6"
"1377","Group4"
"1378","Group4"
"1379","Group6"
"1380","Group3"
"1381","Group7"
"1382","Group6"
"1383","Group2"
"1384","Group7"
"1385","Group4"
"1386","Group6"
"1387","Group4"
"1388","Group4"
"1389","Group3"
"1390","Group6"
"1391","Group6"
"1392","Group3"
"1393","Group6"
"1394","Group6"
"1395","Group1"
"1396","Group6"
"1397","Group3"
"1398","Group6"
"1399","Group7"
"1400","Group4"
"1401","Group4"
"1402","Group6"
"1403","Group3"
"1404","Group7"
"1405","Group2"
"1406","Group7"
"1407","Group6"
"1408","Group3"
"1409","Group2"
"1410","Group4"
"1411","Group7"
"1412","Group7"
"1413","Group7"
"1414","Group7"
"1415","Group7"
"1416","Group3"
"1417","Group7"
"1418","Group7"
"1419","Group6"
"1420","Group6"
"1421","Group3"
"1422","Group4"
"1423","Group2"
"1424","Group7"
"1425","Group5"
"1426","Group7"
"1427","Group1"
"1428","Group3"
"1429","Group3"
"1430","Group7"
"1431","Group2"
"1432","Group7"
"1433","Group5"
"1434","Group7"
"1435","Group7"
"1436","Group7"
"1437","Group6"
"1438","Group7"
"1439","Group1"
"1440","Group7"
"1441","Group3"
"1442","Group6"
"1443","Group3"
"1444","Group4"
"1445","Group6"
"1446","Group7"
"1447","Group4"
"1448","Group2"
"1449","Group7"
"1450","Group7"
"1451","Group5"
"1452","Group7"
"1453","Group6"
"1454","Group6"
"1455","Group7"
"1456","Group5"
"1457","Group3"
"1458","Group7"
"1459","Group5"
"1460","Group3"
"1461","Group5"
"1462","Group1"
"1463","Group1"
"1464","Group6"
"1465","Group4"
"1466","Group6"
"1467","Group5"
"1468","Group7"
"1469","Group7"
"1470","Group3"
"1471","Group1"
"1472","Group6"
"1473","Group3"
"1474","Group5"
"1475","Group6"
"1476","Group5"
"1477","Group6"
"1478","Group7"
"1479","Group7"
"1480","Group3"
"1481","Group4"
"1482","Group3"
"1483","Group5"
"1484","Group1"
"1485","Group7"
"1486","Group6"
"1487","Group7"
"1488","Group1"
"1489","Group2"
"1490","Group6"
"1491","Group6"
"1492","Group1"
"1493","Group6"
"1494","Group6"
"1495","Group3"
"1496","Group4"
"1497","Group1"
"1498","Group7"
"1499","Group7"
"1500","Group1"
"1501","Group5"
"1502","Group5"
"1503","Group2"
"1504","Group3"
"1505","Group6"
"1506","Group7"
"1507","Group3"
"1508","Group6"
"1509","Group7"
"1510","Group7"
"1511","Group5"
"1512","Group6"
"1513","Group7"
"1514","Group3"
"1515","Group2"
"1516","Group6"
"1517","Group6"
"1518","Group4"
"1519","Group4"
"1520","Group3"
"1521","Group3"
"1522","Group2"
"1523","Group6"
"1524","Group5"
"1525","Group3"
"1526","Group4"
"1527","Group5"
"1528","Group5"
"1529","Group3"
"1530","Group6"
"1531","Group6"
"1532","Group4"
"1533","Group1"
"1534","Group7"
"1535","Group6"
"1536","Group6"
"1537","Group6"
"1538","Group6"
"1539","Group7"
"1540","Group6"
"1541","Group3"
"1542","Group6"
"1543","Group4"
"1544","Group1"
"1545","Group7"
"1546","Group2"
"1547","Group7"
"1548","Group4"
"1549","Group6"
"1550","Group1"
"1551","Group6"
"1552","Group5"
"1553","Group6"
"1554","Group6"
"1555","Group1"
"1556","Group1"
"1557","Group7"
"1558","Group6"
"1559","Group3"
"1560","Group1"
"1561","Group6"
"1562","Group2"
"1563","Group4"
"1564","Group6"
"1565","Group5"
"1566","Group5"
"1567","Group2"
"1568","Group6"
"1569","Group1"
"1570","Group7"
"1571","Group1"
"1572","Group3"
"1573","Group2"
"1574","Group6"
"1575","Group6"
"1576","Group1"
"1577","Group4"
"1578","Group3"
"1579","Group2"
"1580","Group3"
"1581","Group4"
"1582","Group7"
"1583","Group3"
"1584","Group1"
"1585","Group7"
"1586","Group5"
"1587","Group5"
"1588","Group2"
"1589","Group6"
"1590","Group4"
"1591","Group7"
"1592","Group1"
"1593","Group2"
"1594","Group6"
"1595","Group5"
"1596","Group1"
"1597","Group6"
"1598","Group3"
"1599","Group7"
"1600","Group6"
"1601","Group1"
"1602","Group4"
"1603","Group1"
"1604","Group7"
"1605","Group7"
"1606","Group3"
"1607","Group3"
"1608","Group1"
"1609","Group4"
"1610","Group2"
"1611","Group3"
"1612","Group4"
"1613","Group4"
"1614","Group6"
"1615","Group6"
"1616","Group1"
"1617","Group6"
"1618","Group7"
"1619","Group6"
"1620","Group3"
"1621","Group3"
"1622","Group7"
"1623","Group6"
"1624","Group2"
"1625","Group7"
"1626","Group3"
"1627","Group3"
"1628","Group1"
"1629","Group2"
"1630","Group3"
"1631","Group3"
"1632","Group6"
"1633","Group6"
"1634","Group1"
"1635","Group6"
"1636","Group4"
"1637","Group7"
"1638","Group4"
"1639","Group5"
"1640","Group6"
"1641","Group3"
"1642","Group4"
"1643","Group7"
"1644","Group7"
"1645","Group5"
"1646","Group6"
"1647","Group2"
"1648","Group7"
"1649","Group7"
"1650","Group1"
"1651","Group7"
"1652","Group7"
"1653","Group2"
"1654","Group1"
"1655","Group2"
"1656","Group2"
"1657","Group6"
"1658","Group7"
"1659","Group6"
"1660","Group3"
"1661","Group7"
"1662","Group3"
"1663","Group6"
"1664","Group5"
"1665","Group3"
